id,recipe_name,cuisine,dietary,ingredients,instructions,calories,protein_g,carbs_g,fat_g,description
1,Grilled Lemon Herb Chicken,American,None,"Chicken breast, lemon juice, olive oil, garlic, herbs","Marinate chicken in lemon juice, oil, garlic, and herbs. Grill until cooked through.",350,45,2,15,"A healthy, high-protein grilled chicken dish with a zesty lemon herb flavor."
2,Quinoa and Black Bean Bowl,Mexican,Vegetarian,"Quinoa, black beans, corn, bell peppers, avocado, lime","Cook quinoa. Mix with beans, corn, peppers. Top with avocado and lime juice.",420,15,65,12,"A filling vegetarian bowl packed with fiber and plant-based protein."
3,Salmon with Roasted Asparagus,Mediterranean,Pescatarian,"Salmon fillet, asparagus, olive oil, salt, pepper","Place salmon and asparagus on baking sheet. Drizzle with oil, season, and bake at 400F for 15 mins.",450,40,8,25,"Rich in omega-3s, this simple salmon dish is both nutritious and delicious."
4,Tofu Stir-fry with Broccoli,Asian,Vegan,"Firm tofu, broccoli, soy sauce, sesame oil, ginger, garlic","Press and cube tofu. Stir-fry with broccoli, ginger, and garlic. Add soy sauce and sesame oil.",300,20,15,18,"A quick, vegan-friendly stir-fry perfect for a weeknight dinner."
5,Oatmeal with Berries and Almonds,American,Vegetarian,"Rolled oats, almond milk, mixed berries, sliced almonds, honey","Cook oats in almond milk. Top with berries, almonds, and a drizzle of honey.",280,8,45,10,"A heart-healthy breakfast that keeps you full all morning."
6,Beef and Veggie Skillet,American,None,"Lean ground beef, zucchini, bell peppers, onions, tomato sauce","Brown beef with onions. Add chopped veggies and tomato sauce. Simmer until tender.",400,35,15,20,"A low-carb, high-protein skillet meal loaded with vegetables."
7,Lentil Soup,Mediterranean,Vegan,"Lentils, carrots, celery, onions, vegetable broth, tomatoes","Sauté veggies. Add lentils, broth, and tomatoes. Simmer for 45 mins.",320,18,50,4,"A comforting, high-fiber vegan soup perfect for meal prep."
8,Greek Yogurt Parfait,Greek,Vegetarian,"Greek yogurt, granola, strawberries, chia seeds","Layer yogurt with granola and strawberries. Top with chia seeds.",250,15,30,8,"A protein-packed snack or breakfast with a satisfying crunch."
9,Keto Cauliflower Mac and Cheese,American,Keto,"Cauliflower florets, heavy cream, cheddar cheese, cream cheese","Steam cauliflower. Make a cheese sauce with cream and cheese. Combine and bake.",480,20,10,40,"A rich, comforting keto alternative to traditional mac and cheese."
10,Avocado Toast with Egg,American,Vegetarian,"Whole wheat bread, avocado, eggs, red pepper flakes","Toast bread. Mash avocado on top. Add a fried or poached egg and pepper flakes.",350,16,25,20,"A balanced meal with healthy fats, complex carbs, and protein."
